filepath,label
data/raw/BD33/bd33 (3).jpg,BD33
data/raw/BD51/bd51 (168).jpg,BD51
data/raw/BR22/br22 (443).jpg,BR22
data/raw/BD56/bd56 (252).jpg,BD56
data/raw/BD85/bd85 (153).jpg,BD85
data/raw/BD75/bd75 (60).jpg,BD75
data/raw/Binadhan10/binadhan10 (169).jpg,Binadhan10
data/raw/BD85/bd85 (387).jpg,BD85
data/raw/Binadhan7/binadhan07 (490).jpg,Binadhan7
data/raw/BD95/bd95 (142).jpg,BD95
data/raw/BD30/bd30 (498).jpg,BD30
data/raw/BD30/bd30 (118).jpg,BD30
data/raw/BD30/bd30 (370).jpg,BD30
data/raw/Binadhan26/binadhan26 (463).jpg,Binadhan26
data/raw/BD33/bd33 (275).jpg,BD33
data/raw/Binadhan25/binadhan25 (15).jpg,Binadhan25
data/raw/Binadhan25/binadhan25 (12).jpg,Binadhan25
data/raw/BD30/bd30 (261).jpg,BD30
data/raw/BRRI67/brri67 (480).jpg,BRRI67
data/raw/Binadhan12/binadhan12 (204).jpg,Binadhan12
data/raw/BRRI74/brri74 (293).jpg,BRRI74
data/raw/Binadhan23/binadhan23 (298).jpg,Binadhan23
data/raw/BD95/bd95 (279).jpg,BD95
data/raw/Binadhan25/binadhan25 (456).jpg,Binadhan25
data/raw/Binadhan16/binadhan16 (140).jpg,Binadhan16
data/raw/BD95/bd95 (310).jpg,BD95
data/raw/BR22/br22 (134).jpg,BR22
data/raw/BD87/bd87 (179).jpg,BD87
data/raw/BD57/bd57 (483).jpg,BD57
data/raw/BD75/bd75 (302).jpg,BD75
data/raw/Binadhan25/binadhan25 (44).jpg,Binadhan25
data/raw/BD76/bd76 (136).jpg,BD76
data/raw/BD49/bd49 (363).jpg,BD49
data/raw/Binadhan10/binadhan10 (300).jpg,Binadhan10
data/raw/Binadhan12/binadhan12 (394).jpg,Binadhan12
data/raw/BD72/bd72 (465).jpg,BD72
data/raw/BRRI74/brri74 (309).jpg,BRRI74
data/raw/BD56/bd56 (430).jpg,BD56
data/raw/BD51/bd51 (59).jpg,BD51
data/raw/Binadhan14/binadhan14 (8).jpg,Binadhan14
data/raw/Binadhan19/binadhan19 (273).jpg,Binadhan19
data/raw/Binadhan7/binadhan07 (31).jpg,Binadhan7
data/raw/BD33/bd33 (439).jpg,BD33
data/raw/BRRI67/brri67 (87).jpg,BRRI67
data/raw/BD72/bd72 (296).jpg,BD72
data/raw/BRRI74/brri74 (47).jpg,BRRI74
data/raw/Binadhan23/binadhan23 (180).jpg,Binadhan23
data/raw/BD56/bd56 (171).jpg,BD56
data/raw/BD49/bd49 (10).jpg,BD49
data/raw/Binadhan26/binadhan26 (157).jpg,Binadhan26
data/raw/BD30/bd30 (78).jpg,BD30
data/raw/Binadhan7/binadhan07 (441).jpg,Binadhan7
data/raw/Binadhan20/binadhan20 (341).jpg,Binadhan20
data/raw/BD49/bd49 (477).jpg,BD49
data/raw/Binadhan17/binadhan17 (296).jpg,Binadhan17
data/raw/BD33/bd33 (276).jpg,BD33
data/raw/BD79/bd79 (160).jpg,BD79
data/raw/BD70/bd70 (17).jpg,BD70
data/raw/BR22/br22 (278).jpg,BR22
data/raw/BD49/bd49 (499).jpg,BD49
data/raw/BD30/bd30 (475).jpg,BD30
data/raw/Binadhan26/binadhan26 (442).jpg,Binadhan26
data/raw/Binadhan12/binadhan12 (428).jpg,Binadhan12
data/raw/BD49/bd49 (20).jpg,BD49
data/raw/BD56/bd56 (293).jpg,BD56
data/raw/BD95/bd95 (495).jpg,BD95
data/raw/BR22/br22 (474).jpg,BR22
data/raw/Binadhan17/binadhan17 (328).jpg,Binadhan17
data/raw/BD57/bd57 (429).jpg,BD57
data/raw/BD87/bd87 (19).jpg,BD87
data/raw/Binadhan12/binadhan12 (372).jpg,Binadhan12
data/raw/BD75/bd75 (210).jpg,BD75
data/raw/BR22/br22 (467).jpg,BR22
data/raw/BD95/bd95 (329).jpg,BD95
data/raw/BR22/br22 (189).jpg,BR22
data/raw/Binadhan11/binadhan11 (448).jpg,Binadhan11
data/raw/BRRI102/brri102 (427).jpg,BRRI102
data/raw/BD75/bd75 (417).jpg,BD75
data/raw/BRRI67/brri67 (257).jpg,BRRI67
data/raw/BD85/bd85 (363).jpg,BD85
data/raw/BD56/bd56 (151).jpg,BD56
data/raw/Binadhan8/binadhan08 (6).jpg,Binadhan8
data/raw/Binadhan11/binadhan11 (475).jpg,Binadhan11
data/raw/BRRI67/brri67 (376).jpg,BRRI67
data/raw/Binadhan14/binadhan14 (157).jpg,Binadhan14
data/raw/Binadhan10/binadhan10 (364).jpg,Binadhan10
data/raw/Binadhan24/binadhan24 (385).jpg,Binadhan24
data/raw/Binadhan8/binadhan08 (276).jpg,Binadhan8
data/raw/BD57/bd57 (31).jpg,BD57
data/raw/BD49/bd49 (336).jpg,BD49
data/raw/Binadhan8/binadhan08 (210).jpg,Binadhan8
data/raw/Binadhan12/binadhan12 (231).jpg,Binadhan12
data/raw/BR22/br22 (453).jpg,BR22
data/raw/BD33/bd33 (45).jpg,BD33
data/raw/Binadhan25/binadhan25 (132).jpg,Binadhan25
data/raw/BD52/bd52 (349).jpg,BD52
data/raw/BD57/bd57 (432).jpg,BD57
data/raw/Binadhan16/binadhan16 (298).jpg,Binadhan16
data/raw/BR22/br22 (280).jpg,BR22
data/raw/BD49/bd49 (391).jpg,BD49
data/raw/BD49/bd49 (223).jpg,BD49
data/raw/Binadhan10/binadhan10 (151).jpg,Binadhan10
data/raw/BD75/bd75 (2).jpg,BD75
data/raw/Binadhan16/binadhan16 (246).jpg,Binadhan16
data/raw/BD85/bd85 (214).jpg,BD85
data/raw/Binadhan16/binadhan16 (327).jpg,Binadhan16
data/raw/BR22/br22 (3).jpg,BR22
data/raw/BD76/bd76 (304).jpg,BD76
data/raw/Binadhan26/binadhan26 (458).jpg,Binadhan26
data/raw/Binadhan19/binadhan19 (268).jpg,Binadhan19
data/raw/BD52/bd52 (463).jpg,BD52
data/raw/BD91/bd91 (89).jpg,BD91
data/raw/Binadhan19/binadhan19 (56).jpg,Binadhan19
data/raw/Binadhan14/binadhan14 (474).jpg,Binadhan14
data/raw/BD95/bd95 (313).jpg,BD95
data/raw/BD85/bd85 (436).jpg,BD85
data/raw/Binadhan20/binadhan20 (84).jpg,Binadhan20
data/raw/BD72/bd72 (388).jpg,BD72
data/raw/BD87/bd87 (154).jpg,BD87
data/raw/Binadhan11/binadhan11 (251).jpg,Binadhan11
data/raw/BD75/bd75 (87).jpg,BD75
data/raw/BD91/bd91 (196).jpg,BD91
data/raw/BD75/bd75 (254).jpg,BD75
data/raw/Binadhan16/binadhan16 (282).jpg,Binadhan16
data/raw/Binadhan26/binadhan26 (383).jpg,Binadhan26
data/raw/BR23/br23 (52).jpg,BR23
data/raw/Binadhan11/binadhan11 (462).jpg,Binadhan11
data/raw/BD76/bd76 (396).jpg,BD76
data/raw/BD51/bd51 (172).jpg,BD51
data/raw/BD85/bd85 (432).jpg,BD85
data/raw/BD91/bd91 (482).jpg,BD91
data/raw/BD93/bd93 (365).jpg,BD93
data/raw/BD87/bd87 (496).jpg,BD87
data/raw/BD75/bd75 (396).jpg,BD75
data/raw/Binadhan21/binadhan21 (320).jpg,Binadhan21
data/raw/BD52/bd52 (159).jpg,BD52
data/raw/Binadhan25/binadhan25 (444).jpg,Binadhan25
data/raw/BD75/bd75 (321).jpg,BD75
data/raw/BD33/bd33 (113).jpg,BD33
data/raw/Binadhan7/binadhan07 (119).jpg,Binadhan7
data/raw/Binadhan7/binadhan07 (251).jpg,Binadhan7
data/raw/BD39/bd39 (504).jpg,BD39
data/raw/BD49/bd49 (298).jpg,BD49
data/raw/Binadhan10/binadhan10 (45).jpg,Binadhan10
data/raw/BD30/bd30 (277).jpg,BD30
data/raw/BD52/bd52 (230).jpg,BD52
data/raw/Binadhan23/binadhan23 (233).jpg,Binadhan23
data/raw/BD51/bd51 (3).jpg,BD51
data/raw/BD30/bd30 (158).jpg,BD30
data/raw/BD85/bd85 (338).jpg,BD85
data/raw/BD93/bd93 (425).jpg,BD93
data/raw/Binadhan23/binadhan23 (387).jpg,Binadhan23
data/raw/BD49/bd49 (337).jpg,BD49
data/raw/BD49/bd49 (457).jpg,BD49
data/raw/BD95/bd95 (62).jpg,BD95
data/raw/Binadhan11/binadhan11 (185).jpg,Binadhan11
data/raw/BD39/bd39 (84).jpg,BD39
data/raw/BD72/bd72 (24).jpg,BD72
data/raw/BD79/bd79 (478).jpg,BD79
data/raw/BD57/bd57 (158).jpg,BD57
data/raw/Binadhan25/binadhan25 (353).jpg,Binadhan25
data/raw/BRRI67/brri67 (415).jpg,BRRI67
data/raw/BD56/bd56 (428).jpg,BD56
data/raw/BD33/bd33 (174).jpg,BD33
